,player_id,@id,url,username,score,rank,country,title,name,status,avatar,flair_code,win_count,loss_count,draw_count,trend_score.direction,trend_score.delta,trend_rank.direction,trend_rank.delta
0,2305524,https://api.chess.com/pub/player/zgorl,https://www.chess.com/member/Zgorl,Zgorl,2577,1,https://api.chess.com/pub/country/NL,FM,Rob Schoorl,premium,https://images.chesscomfiles.com/uploads/v1/user/2305524.5341b605.200x200o.67a89f6c51b4.jpeg,white_bishop,510,206,64,0,0,0,0
1,140243655,https://api.chess.com/pub/player/v5k,https://www.chess.com/member/V5K,V5K,2561,2,https://api.chess.com/pub/country/NG,,,basic,https://images.chesscomfiles.com/uploads/v1/user/140243655.4d95d88d.200x200o.02a1f7bfcc8a.png,nothing,4,2,0,0,0,0,0
2,1967855,https://api.chess.com/pub/player/cschess,https://www.chess.com/member/cschess,cschess,2552,3,https://api.chess.com/pub/country/US,FM,Charles Schulien,premium,https://images.chesscomfiles.com/uploads/v1/user/1967855.bf6c3c33.200x200o.14b42002eaa3.jpeg,diamond_traditional,94,10,23,0,0,0,0
3,48978632,https://api.chess.com/pub/player/ryzeaf,https://www.chess.com/member/Ryzeaf,Ryzeaf,2513,4,https://api.chess.com/pub/country/NL,,Kees Nieuwelink,basic,https://www.chess.com/bundles/web/images/noavatar_l.84a92436.gif,nothing,92,26,22,0,0,0,0
4,1748537,https://api.chess.com/pub/player/julio_becerra,https://www.chess.com/member/Julio_Becerra,Julio_Becerra,2498,5,https://api.chess.com/pub/country/US,GM,Julio Becerra,premium,https://images.chesscomfiles.com/uploads/v1/user/1748537.b163366d.200x200o.c84d217025b3.jpeg,diamond_traditional,154,27,37,0,0,0,0
5,4244189,https://api.chess.com/pub/player/darkeval,https://www.chess.com/member/darkeval,darkeval,2487,6,https://api.chess.com/pub/country/NO,,Kim Kaspersen,premium,https://images.chesscomfiles.com/uploads/v1/user/4244189.93ba63e7.200x200o.790ba407f19f.jpeg,diamond_traditional,349,61,42,0,0,0,0
6,7848044,https://api.chess.com/pub/player/francisbegbie,https://www.chess.com/member/francisbegbie,francisbegbie,2480,7,https://api.chess.com/pub/country/XE,FM,Andy Mack,premium,https://images.chesscomfiles.com/uploads/v1/user/7848044.9d41a5e9.200x200o.2018b3519732.jpeg,diamond_traditional,712,4,6,0,0,0,0
7,32747684,https://api.chess.com/pub/player/francesco111,https://www.chess.com/member/Francesco111,Francesco111,2477,8,https://api.chess.com/pub/country/DE,IM,Francesco de Gleria,premium,https://images.chesscomfiles.com/uploads/v1/user/32747684.3bb363dc.200x200o.9062339c1f55.jpeg,diamond_traditional,219,17,48,0,0,0,0
8,2883344,https://api.chess.com/pub/player/martinmatthiesen,https://www.chess.com/member/MartinMatthiesen,MartinMatthiesen,2446,9,https://api.chess.com/pub/country/DK,FM,Martin Matthiesen,premium,https://images.chesscomfiles.com/uploads/v1/user/2883344.4bf677fc.200x200o.5429007ae947.jpeg,flag_ukraine,109,24,21,0,0,0,0
9,2482149,https://api.chess.com/pub/player/profofchess,https://www.chess.com/member/profofchess,profofchess,2434,10,https://api.chess.com/pub/country/CA,FM,Mike Ivanov,premium,https://images.chesscomfiles.com/uploads/v1/user/2482149.a38fee54.200x200o.4052ca3e882f.jpeg,diamond_traditional,438,117,72,0,0,0,0
