,name,url,creator,status,start_time,finish_time,players,rounds,settings.type,settings.rules,settings.is_rated,settings.is_official,settings.is_invite_only,settings.user_advance_count,settings.winner_places,settings.registered_user_count,settings.total_rounds,settings.time_class,settings.time_control,tournament_url
0,Late-Titled-Tuesday-Blitz-March-05-2024,https://www.chess.com/tournament/live/late-titled-tuesday-blitz-march-05-2024-4605130,CHESScom,finished,1709676000,1709683567,"[{'username': 'hikaru', 'status': 'winner'}, {'username': 'mr_heisenberg13', 'status': 'registered'}, {'username': 'jospem', 'status': 'registered'}, {'username': 'mishanick', 'status': 'registered'}, {'username': 'magnuscarlsen', 'status': 'registered'}, {'username': 'polish_fighter3000', 'status': 'registered'}, {'username': 'fairchess_on_youtube', 'status': 'registered'}, {'username': 'speedoflight0', 'status': 'registered'}, {'username': 'beca95', 'status': 'registered'}, {'username': 'k_a_s_t_o_r', 'status': 'registered'}, {'username': 'sanan_sjugirov', 'status': 'registered'}, {'username': 'stollenmonster', 'status': 'registered'}, {'username': 'njal28', 'status': 'registered'}, {'username': 'vladimirkramnik', 'status': 'registered'}, {'username': 'danielnaroditsky', 'status': 'registered'}, {'username': 'msb2', 'status': 'registered'}, {'username': 'ameetghasi100', 'status': 'registered'}, {'username': 'jsprepz', 'status': 'registered'}, {'username': 'hansontwitch', 'status': 'registered'}, {'username': 'tigrvshlyape', 'status': 'registered'}, {'username': 'fandorine', 'status': 'registered'}, {'username': 'lukianoo', 'status': 'registered'}, {'username': 'shtembuliak', 'status': 'registered'}, {'username': 'hamedwafa4', 'status': 'registered'}, {'username': 'perecke', 'status': 'registered'}]",['https://api.chess.com/pub/tournament/late-titled-tuesday-blitz-march-05-2024-4605130/11'],swiss,chess,True,True,False,1,3,502,11,blitz,180+1,https://api.chess.com/pub/tournament/late-titled-tuesday-blitz-march-05-2024-4605130
1,Early-Titled-Tuesday-Blitz-March-05-2024,https://www.chess.com/tournament/live/early-titled-tuesday-blitz-march-05-2024-4605129,CHESScom,finished,1709654400,1709662406,"[{'username': 'firouzja2003', 'status': 'winner'}, {'username': 'volodar_murzin', 'status': 'registered'}, {'username': 'jospem', 'status': 'registered'}, {'username': 'speedoflight0', 'status': 'registered'}, {'username': 'hansontwitch', 'status': 'registered'}, {'username': 'oleksandr_bortnyk', 'status': 'registered'}, {'username': 'indianlad', 'status': 'registered'}, {'username': 'nikotheodorou', 'status': 'registered'}, {'username': 'polish_fighter3000', 'status': 'registered'}, {'username': 'fairchess_on_youtube', 'status': 'registered'}, {'username': 'hikaru', 'status': 'registered'}, {'username': 'wonderfultime', 'status': 'registered'}, {'username': 'ckgchess', 'status': 'registered'}, {'username': 'nihalsarin', 'status': 'registered'}, {'username': 'abund', 'status': 'registered'}, {'username': 'chesslover0108', 'status': 'registered'}, {'username': 'rikikits', 'status': 'registered'}, {'username': 'bauman_guy', 'status': 'registered'}, {'username': 'mishanick', 'status': 'registered'}, {'username': 'yeritsyaan', 'status': 'registered'}, {'username': 'magnuscarlsen', 'status': 'registered'}, {'username': 'nuvas', 'status': 'registered'}, {'username': 'sokidze', 'status': 'registered'}, {'username': 'antipov_mikhail_al', 'status': 'registered'}, {'username': 'sebastian', 'status': 'registered'}]",['https://api.chess.com/pub/tournament/early-titled-tuesday-blitz-march-05-2024-4605129/11'],swiss,chess,True,True,False,1,3,696,11,blitz,180+1,https://api.chess.com/pub/tournament/early-titled-tuesday-blitz-march-05-2024-4605129
2,Late-Titled-Tuesday-Blitz-February-27-2024,https://www.chess.com/tournament/live/late-titled-tuesday-blitz-february-27-2024-4590818,CHESScom,finished,1709071200,1709078905,"[{'username': 'hikaru', 'status': 'winner'}, {'username': 'ghandeevam2003', 'status': 'registered'}, {'username': 'polish_fighter3000', 'status': 'registered'}, {'username': 'nihalsarin', 'status': 'registered'}, {'username': 'speedoflight0', 'status': 'registered'}, {'username': 'mishanick', 'status': 'registered'}, {'username': 'njal28', 'status': 'registered'}, {'username': 'kuzubovyuriy', 'status': 'registered'}, {'username': 'msb2', 'status': 'registered'}, {'username': 'jefferyx', 'status': 'registered'}, {'username': 'firouzja2003', 'status': 'registered'}, {'username': 'liemle', 'status': 'registered'}, {'username': 'fandorine', 'status': 'registered'}, {'username': 'hrant_chessmood', 'status': 'registered'}, {'username': 'dropstonedp', 'status': 'registered'}, {'username': 'fabianocaruana', 'status': 'registered'}, {'username': 'genghis_k', 'status': 'registered'}, {'username': 'miterryble', 'status': 'registered'}, {'username': 'sargsyan_shant', 'status': 'registered'}, {'username': 'js20000', 'status': 'registered'}, {'username': 'sanan_sjugirov', 'status': 'registered'}, {'username': 'bogdandeac', 'status': 'registered'}, {'username': 'hansen', 'status': 'registered'}, {'username': 'temus_galaktionov', 'status': 'registered'}, {'username': 'aryantari', 'status': 'registered'}]",['https://api.chess.com/pub/tournament/late-titled-tuesday-blitz-february-27-2024-4590818/11'],swiss,chess,True,True,False,1,3,509,11,blitz,180+1,https://api.chess.com/pub/tournament/late-titled-tuesday-blitz-february-27-2024-4590818
3,Early-Titled-Tuesday-Blitz-February-27-2024,https://www.chess.com/tournament/live/early-titled-tuesday-blitz-february-27-2024-4590817,CHESScom,finished,1709049600,1709057387,"[{'username': 'wonderfultime', 'status': 'winner'}, {'username': 'jospem', 'status': 'registered'}, {'username': 'jefferyx', 'status': 'registered'}, {'username': 'hikaru', 'status': 'registered'}, {'username': 'vi_pranav', 'status': 'registered'}, {'username': 'denlaz', 'status': 'registered'}, {'username': 'polish_fighter3000', 'status': 'registered'}, {'username': 'grischuk', 'status': 'registered'}, {'username': 'hansontwitch', 'status': 'registered'}, {'username': 'matthewg-p4p', 'status': 'registered'}, {'username': 'njal28', 'status': 'registered'}, {'username': 'mishanick', 'status': 'registered'}, {'username': 'ghandeevam2003', 'status': 'registered'}, {'username': 'scarabee43', 'status': 'registered'}, {'username': 'oleksandr_bortnyk', 'status': 'registered'}, {'username': 'zohid6', 'status': 'registered'}, {'username': 'evgeny81', 'status': 'registered'}, {'username': 'maciek_92', 'status': 'registered'}, {'username': 'tigrvshlyape', 'status': 'registered'}, {'username': 'sam_chessmood', 'status': 'registered'}, {'username': 'fairchess_on_youtube', 'status': 'registered'}, {'username': 'andreikka', 'status': 'registered'}, {'username': 'chesslover0108', 'status': 'registered'}, {'username': 'sina_movahed', 'status': 'registered'}, {'username': 'msb2', 'status': 'registered'}]",['https://api.chess.com/pub/tournament/early-titled-tuesday-blitz-february-27-2024-4590817/11'],swiss,chess,True,True,False,1,3,748,11,blitz,180+1,https://api.chess.com/pub/tournament/early-titled-tuesday-blitz-february-27-2024-4590817
4,Late-Titled-Tuesday-Blitz-February-20-2024,https://www.chess.com/tournament/live/late-titled-tuesday-blitz-february-20-2024-4576499,CHESScom,finished,1708466400,1708474180,"[{'username': 'drvelja', 'status': 'winner'}, {'username': 'rud_makarian', 'status': 'registered'}, {'username': 'fairchess_on_youtube', 'status': 'registered'}, {'username': 'polish_fighter3000', 'status': 'registered'}, {'username': 'liemle', 'status': 'registered'}, {'username': 'mishanick', 'status': 'registered'}, {'username': 'jefferyx', 'status': 'registered'}, {'username': 'hikaru', 'status': 'registered'}, {'username': 'duhless', 'status': 'registered'}, {'username': 'tenismaster', 'status': 'registered'}, {'username': 'msb2', 'status': 'registered'}, {'username': 'bilodeaua', 'status': 'registered'}, {'username': 'njal28', 'status': 'registered'}, {'username': 'zkid', 'status': 'registered'}, {'username': 'hrant_chessmood', 'status': 'registered'}, {'username': 'magnuscarlsen', 'status': 'registered'}, {'username': 'vi_pranav', 'status': 'registered'}, {'username': 'bogdandeac', 'status': 'registered'}, {'username': 'jcibarra', 'status': 'registered'}, {'username': 'grischuk', 'status': 'registered'}, {'username': 'angry_twin', 'status': 'registered'}, {'username': 'beca95', 'status': 'registered'}, {'username': 'jospem', 'status': 'registered'}, {'username': 'alexeishirov', 'status': 'registered'}, {'username': 'alex_sahakyan2006', 'status': 'registered'}]",['https://api.chess.com/pub/tournament/late-titled-tuesday-blitz-february-20-2024-4576499/11'],swiss,chess,True,True,False,1,3,501,11,blitz,180+1,https://api.chess.com/pub/tournament/late-titled-tuesday-blitz-february-20-2024-4576499
5,Early-Titled-Tuesday-Blitz-February-20-2024,https://www.chess.com/tournament/live/early-titled-tuesday-blitz-february-20-2024-4576498,CHESScom,finished,1708444800,1708452663,"[{'username': 'anishonyoutube', 'status': 'winner'}, {'username': 'jospem', 'status': 'registered'}, {'username': 'lachesisq', 'status': 'registered'}, {'username': 'bigfish1995', 'status': 'registered'}, {'username': 'njal28', 'status': 'registered'}, {'username': 'a-fier', 'status': 'registered'}, {'username': 'polish_fighter3000', 'status': 'registered'}, {'username': 'oleksandr_bortnyk', 'status': 'registered'}, {'username': 'kuzubovyuriy', 'status': 'registered'}, {'username': 'bilodeaua', 'status': 'registered'}, {'username': 'bogdandeac', 'status': 'registered'}, {'username': 'xamax2000', 'status': 'registered'}, {'username': 'bauman_guy', 'status': 'registered'}, {'username': 'genghis_k', 'status': 'registered'}, {'username': 'vladimirkramnik', 'status': 'registered'}, {'username': 'mops_2004', 'status': 'registered'}, {'username': 'maciek_92', 'status': 'registered'}, {'username': 'sergoy', 'status': 'registered'}, {'username': 'klimkoj', 'status': 'registered'}, {'username': 'ckgchess', 'status': 'registered'}, {'username': 'vaathi_coming', 'status': 'registered'}, {'username': 'sam_chessmood', 'status': 'registered'}, {'username': 'im_arthurdw08', 'status': 'registered'}, {'username': 'beca95', 'status': 'registered'}, {'username': 'hikaru', 'status': 'registered'}]",['https://api.chess.com/pub/tournament/early-titled-tuesday-blitz-february-20-2024-4576498/11'],swiss,chess,True,True,False,1,3,693,11,blitz,180+1,https://api.chess.com/pub/tournament/early-titled-tuesday-blitz-february-20-2024-4576498
6,Late-Titled-Tuesday-Blitz-February-13-2024,https://www.chess.com/tournament/live/late-titled-tuesday-blitz-february-13-2024-4576494,CHESScom,finished,1707861600,1707869341,"[{'username': 'bilodeaua', 'status': 'winner'}, {'username': 'lyonbeast', 'status': 'registered'}, {'username': 'grischuk', 'status': 'registered'}, {'username': 'dropstonedp', 'status': 'registered'}, {'username': 'oleksandr_bortnyk', 'status': 'registered'}, {'username': 'bogdandeac', 'status': 'registered'}, {'username': 'jospem', 'status': 'registered'}, {'username': 'speedoflight0', 'status': 'registered'}, {'username': 'platy3', 'status': 'registered'}, {'username': 'hikaru', 'status': 'registered'}, {'username': 'hansontwitch', 'status': 'registered'}, {'username': 'bigfish1995', 'status': 'registered'}, {'username': 'polish_fighter3000', 'status': 'registered'}, {'username': 'konavets', 'status': 'registered'}, {'username': 'fabianocaruana', 'status': 'registered'}, {'username': 'durarbayli', 'status': 'registered'}, {'username': 'dretch', 'status': 'registered'}, {'username': 'liemle', 'status': 'registered'}, {'username': 'gmbenjaminbok', 'status': 'registered'}, {'username': 'shankland', 'status': 'registered'}, {'username': 'tigrvshlyape', 'status': 'registered'}, {'username': 'h4parah5', 'status': 'registered'}, {'username': 'fandorine', 'status': 'registered'}, {'username': 'msb2', 'status': 'registered'}, {'username': 'vladimirkramnik', 'status': 'registered'}]",['https://api.chess.com/pub/tournament/late-titled-tuesday-blitz-february-13-2024-4576494/11'],swiss,chess,True,True,False,1,3,551,11,blitz,180+1,https://api.chess.com/pub/tournament/late-titled-tuesday-blitz-february-13-2024-4576494
7,Early-Titled-Tuesday-Blitz-February-13-2024,https://www.chess.com/tournament/live/early-titled-tuesday-blitz-february-13-2024-4576493,CHESScom,finished,1707840000,1707848001,"[{'username': 'polish_fighter3000', 'status': 'winner'}, {'username': 'kuzubovyuriy', 'status': 'registered'}, {'username': 'gogieff', 'status': 'registered'}, {'username': 'denlaz', 'status': 'registered'}, {'username': 'bigfish1995', 'status': 'registered'}, {'username': 'player_2006_m', 'status': 'registered'}, {'username': 'wonderfultime', 'status': 'registered'}, {'username': 'gm_dmitrij', 'status': 'registered'}, {'username': 'mishanick', 'status': 'registered'}, {'username': 'vaathi_coming', 'status': 'registered'}, {'username': 'njal28', 'status': 'registered'}, {'username': 'fairchess_on_youtube', 'status': 'registered'}, {'username': 'jefferyx', 'status': 'registered'}, {'username': 'hansontwitch', 'status': 'registered'}, {'username': 'msb2', 'status': 'registered'}, {'username': 'sina_movahed', 'status': 'registered'}, {'username': 'whiteknight2612', 'status': 'registered'}, {'username': 'rud_makarian', 'status': 'registered'}, {'username': 'shimastream', 'status': 'registered'}, {'username': 'fghsmn', 'status': 'registered'}, {'username': 'alexander_donchenko', 'status': 'registered'}, {'username': 'chesslover0108', 'status': 'registered'}, {'username': 'matthewg-p4p', 'status': 'registered'}, {'username': 'jk13', 'status': 'registered'}, {'username': 'kleinebeer98', 'status': 'registered'}]",['https://api.chess.com/pub/tournament/early-titled-tuesday-blitz-february-13-2024-4576493/11'],swiss,chess,True,True,False,1,3,783,11,blitz,180+1,https://api.chess.com/pub/tournament/early-titled-tuesday-blitz-february-13-2024-4576493
8,Late-Titled-Tuesday-Blitz-February-06-2024,https://www.chess.com/tournament/live/late-titled-tuesday-blitz-february-06-2024-4547612,CHESScom,finished,1707256800,1707264463,"[{'username': 'hikaru', 'status': 'winner'}, {'username': 'nihalsarin', 'status': 'registered'}, {'username': 'fairchess_on_youtube', 'status': 'registered'}, {'username': 'lyonbeast', 'status': 'registered'}, {'username': 'speedoflight0', 'status': 'registered'}, {'username': 'polish_fighter3000', 'status': 'registered'}, {'username': 'jefferyx', 'status': 'registered'}, {'username': 'harsha_bharathakoti', 'status': 'registered'}, {'username': 'zhigalko_sergei', 'status': 'registered'}, {'username': 'konavets', 'status': 'registered'}, {'username': 'kuzubovyuriy', 'status': 'registered'}, {'username': 'gadimbaylia', 'status': 'registered'}, {'username': 'oleksandr_bortnyk', 'status': 'registered'}, {'username': 'iwanyu', 'status': 'registered'}, {'username': 'dmitrijiim', 'status': 'registered'}, {'username': 'gmbenjaminbok', 'status': 'registered'}, {'username': 'danielnaroditsky', 'status': 'registered'}, {'username': 'gmwso', 'status': 'registered'}, {'username': 'dretch', 'status': 'registered'}, {'username': 'igorkovalenko', 'status': 'registered'}, {'username': 'alexeishirov', 'status': 'registered'}, {'username': 'rud_makarian', 'status': 'registered'}, {'username': 'durarbayli', 'status': 'registered'}, {'username': 'denlaz', 'status': 'registered'}, {'username': 'hansontwitch', 'status': 'registered'}]",['https://api.chess.com/pub/tournament/late-titled-tuesday-blitz-february-06-2024-4547612/11'],swiss,chess,True,True,False,1,3,548,11,blitz,180+1,https://api.chess.com/pub/tournament/late-titled-tuesday-blitz-february-06-2024-4547612
9,Early-Titled-Tuesday-Blitz-February-06-2024,https://www.chess.com/tournament/live/early-titled-tuesday-blitz-february-06-2024-4547611,CHESScom,finished,1707235200,1707242955,"[{'username': 'kpio91', 'status': 'winner'}, {'username': 'christopheryoo', 'status': 'registered'}, {'username': 'hikaru', 'status': 'registered'}, {'username': 'h4parah5', 'status': 'registered'}, {'username': 'lyonbeast', 'status': 'registered'}, {'username': 'fabianocaruana', 'status': 'registered'}, {'username': 'billiekimbah', 'status': 'registered'}, {'username': 'yosephtaher', 'status': 'registered'}, {'username': 'xamax2000', 'status': 'registered'}, {'username': 'sina_movahed', 'status': 'registered'}, {'username': 'mitrabhaa', 'status': 'registered'}, {'username': 'lilleper1', 'status': 'registered'}, {'username': 'platy3', 'status': 'registered'}, {'username': 'ghandeevam2003', 'status': 'registered'}, {'username': 'denis_makhnyov', 'status': 'registered'}, {'username': 'jospem', 'status': 'registered'}, {'username': 'gmbenjaminbok', 'status': 'registered'}, {'username': 'lachesisq', 'status': 'registered'}, {'username': 'shimastream', 'status': 'registered'}, {'username': 'tptagain', 'status': 'registered'}, {'username': 'zhigalko_sergei', 'status': 'registered'}, {'username': 'adotand', 'status': 'registered'}, {'username': 'philippians46', 'status': 'registered'}, {'username': 'juwen', 'status': 'registered'}, {'username': 'nihalsarin', 'status': 'registered'}]",['https://api.chess.com/pub/tournament/early-titled-tuesday-blitz-february-06-2024-4547611/11'],swiss,chess,True,True,False,1,3,830,11,blitz,180+1,https://api.chess.com/pub/tournament/early-titled-tuesday-blitz-february-06-2024-4547611
